	Capsicumannuumglabriusculum	Capsicumannuummorelia	DaturastramoniumTeo0	DaturastramoniumTic23	Nicotianaattenuata	Nicotianasylvestris	Nicotianatabacum	Nicotianatomentosiformis	Petuniainflata	Solanumlycopersicum	Solanumpennellii	Solanumpimpinellifolium	Solanumtuberosum
'10	400	380	160	210	240	1160	480	830	340	130	250	180	300
11-15	1021	1331	523	745	866	3098	1867	2954	981	586	696	502	1014
16-20	368	992	328	409	734	1058	1006	1399	324	296	556	256	602
21-50	971	2008	657	1252	1431	1706	3400	1674	1123	370	2375	801	1298
51-100	457	1135	80	90	280	276	2016	212	336	134	872	246	323
101-150	216	0	0	0	0	0	224	0	0	0	467	0	0
151-200	0	0	0	0	0	0	177	0	0	0	473	0	0
201-500	0	0	0	0	0	0	246	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	39.4	38.5	54.6	49.8	40.4	14.6	5.8	14.4	33.5	51.1	27.1	52.9	39.6
'2	20.0	18.2	19.5	19.5	22.5	16.1	33.4	16.2	21.7	20.1	16.8	19.1	20.0
'3	8.2	7.5	6.7	7.2	8.5	12.6	7.9	13.0	10.8	7.3	7.7	6.6	8.4
'4	4.7	3.8	2.8	3.3	3.6	9.8	13.1	10.5	5.4	3.7	3.6	3.7	4.6
'5	2.9	2.7	1.9	2.2	2.3	8.2	3.4	7.9	2.5	2.3	2.0	2.3	2.9
'6	1.9	1.8	1.1	1.1	1.8	6.1	4.0	5.6	2.3	1.8	1.5	1.3	2.1
'7	1.3	1.6	0.9	1.3	0.7	4.4	1.7	4.4	1.3	1.3	0.9	1.3	1.6
'8	1.3	1.4	0.8	0.9	0.9	3.8	1.8	3.5	1.1	0.9	0.8	1.0	1.4
'9	1.3	1.2	0.5	0.6	0.9	2.7	0.9	3.1	0.7	0.5	0.6	0.5	0.9
'10	1.2	1.1	0.5	0.6	0.7	2.1	0.7	1.5	0.9	0.4	0.5	0.5	0.9
11-15	3.0	3.8	1.7	2.2	2.6	5.7	2.7	5.5	2.7	1.6	1.4	1.4	2.9
16-20	1.1	2.8	1.1	1.2	2.2	1.9	1.4	2.6	0.9	0.8	1.1	0.7	1.7
21-50	2.8	5.8	2.1	3.7	4.3	3.1	4.9	3.1	3.1	1.0	4.9	2.3	3.7
51-100	1.3	3.3	0.3	0.3	0.8	0.5	2.9	0.4	0.9	0.4	1.8	0.7	0.9
101-150	0.6	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	1.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	1.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
